Genus,Species,NofFiles,NBDC,UBC,Yorku,UoA,GlobalBiodiversity,Ecdysis,N_NBDC_samples
Nomada,Nomada articulata,0,0,0,0,0,0,0,0
Nomada,Nomada bella,0,0,0,0,0,0,0,0
Nomada,Nomada lehighensis,0,0,0,0,0,0,0,0
Nomada,Nomada snowii,0,0,0,0,0,0,0,0
Nomada,Nomada valida,0,0,0,0,0,0,0,0
Nomada,Nomada vincta,0,0,0,0,0,0,0,0
Osmia,Osmia albolateralis,2,0,0,2,0,0,0,0
Osmia,Osmia atriventris,2,0,0,2,0,0,0,0
Osmia,Osmia bucephala,1,0,0,1,0,0,0,0
Osmia,Osmia coloradensis,1,0,0,1,0,0,0,0
Osmia,Osmia densa,1,0,0,1,0,0,0,0
Osmia,Osmia distincta,0,0,0,0,0,0,0,0
Osmia,Osmia ednae,0,0,0,0,0,0,0,0
Osmia,Osmia giliarum,0,0,0,0,0,0,0,0
Osmia,Osmia grindeliae,0,0,0,0,0,0,0,0
Osmia,Osmia inermis,0,0,0,0,0,0,0,0
Osmia,Osmia inspergens,0,0,0,0,0,0,0,0
Osmia,Osmia integra,0,0,0,0,0,0,0,0
Osmia,Osmia inurbana,0,0,0,0,0,0,0,0
Osmia,Osmia juxta,0,0,0,0,0,0,0,0
Osmia,Osmia lignaria,0,0,0,0,0,0,0,0
Osmia,Osmia nanula,0,0,0,0,0,0,0,0
Osmia,Osmia nifoata,0,0,0,0,0,0,0,0
Osmia,Osmia nigrifrons,0,0,0,0,0,0,0,0
Osmia,Osmia nigriventris,0,0,0,0,0,0,0,0
Osmia,Osmia pentstemonis,0,0,0,0,0,0,0,0
Osmia,Osmia proxima,0,0,0,0,0,0,0,0
Osmia,Osmia pusilla,0,0,0,0,0,0,0,0
Osmia,Osmia sculleni,0,0,0,0,0,0,0,0
Osmia,Osmia sedula,0,0,0,0,0,0,0,0
Osmia,Osmia simillima,0,0,0,0,0,0,0,0
Osmia,Osmia subaustralis,0,0,0,0,0,0,0,0
Osmia,Osmia tarsata,0,0,0,0,0,0,0,0
Osmia,Osmia tersula,0,0,0,0,0,0,0,0
Osmia,Osmia texana,0,0,0,0,0,0,0,0
Osmia,Osmia trevoris,0,0,0,0,0,0,0,0
Osmia,Osmia tristella,0,0,0,0,0,0,0,0
Panurginus,Panurginus atriceps,0,0,0,0,0,0,0,0
Panurginus,Panurginus beardsleyi,0,0,0,0,0,0,0,0
Perdita,Perdita ainsliei,0,0,0,0,0,0,0,0
Perdita,Perdita albipennis,0,0,0,0,0,0,0,0
Perdita,Perdita bruneri,0,0,0,0,0,0,0,0
Perdita,Perdita luteiceps,0,0,0,0,0,0,0,0
Perdita,Perdita maculigera,0,0,0,0,0,0,0,0
Perdita,Perdita nevadensis,0,0,0,0,0,0,0,0
Perdita,Perdita perpallida,0,0,0,0,0,0,0,0
Perdita,Perdita pretiosa,0,0,0,0,0,0,0,0
Perdita,Perdita strottleri,0,0,0,0,0,0,0,0
Perdita,Perdita swenki,0,0,0,0,0,0,0,0
Perdita,Perdita tridentata,0,0,0,0,0,0,0,0
Pseudopanurgus,Pseudopanurgus aestivalis,0,0,0,0,0,0,0,0
Pseudopanurgus,Pseudopanurgus innuptus,0,0,0,0,0,0,0,0
Pseudopanurgus,Pseudopanurgus parvus,0,0,0,0,0,0,0,0
Pseudopanurgus,Pseudopanurgus pecki,0,0,0,0,0,0,0,0
Pseudopanurgus,Pseudopanurgus piercei,0,0,0,0,0,0,0,0
Pseudopanurgus,Pseudopanurgus renimaculatus,0,0,0,0,0,0,0,0
Sphecodes,Sphecodes arroyanus,0,0,0,0,0,0,0,0
Sphecodes,Sphecodes minor,2,0,0,2,0,0,0,0
Stelis,Stelis coarctatus,0,0,0,0,0,0,0,0
Stelis,Stelis foederalis,0,0,0,0,0,0,0,0
Stelis,Stelis interrupta,0,0,0,0,0,0,0,0
Stelis,Stelis labiata,0,0,0,0,0,0,0,0
Stelis,Stelis lateralis,0,0,0,0,0,0,0,0
Stelis,Stelis montana,0,0,0,0,0,0,0,0
Stelis,Stelis nitida,0,0,0,0,0,0,0,0
Stelis,Stelis rubi,0,0,0,0,0,0,0,0
Triepeolus,Triepeolus balteatus,0,0,0,0,0,0,0,0
Triepeolus,Triepeolus concavus,0,0,0,0,0,0,0,0
Triepeolus,Triepeolus dacotensis,0,0,0,0,0,0,0,0
Triepeolus,Triepeolus helianthi,0,0,0,0,0,0,0,0
Triepeolus,Triepeolus paenepectoralis,0,0,0,0,0,0,0,0
Triepeolus,Triepeolus subalpinus,0,0,0,0,0,0,0,0
Xeromelecta,Xeromelecta californica,0,0,0,0,0,0,0,0
Zacosmia,Zacosmia maculata,0,0,0,0,0,0,0,0
