Genus,Species,NofFiles,NBDC,UBC,Yorku,UoA,GlobalBiodiversity,Ecdysis,N_NBDC_samples
Lasioglossum,Lasioglossum testaceum,0,0,0,0,0,0,0,0
Lasioglossum,Lasioglossum trizonatum,3,3,0,0,0,0,0,0
Lasioglossum,Lasioglossum versans,3,3,0,0,0,0,0,0
Lasioglossum,Lasioglossum zephyrus,0,0,0,0,0,0,0,0
Lasioglossum,Lasioglossum zonulum,3,3,0,0,0,0,0,0
Macropis,Macropis nuda,10,8,0,2,0,0,0,0
Megachile,Megachile anograe,0,0,0,0,0,0,0,0
Megachile,Megachile brevis,9,9,0,0,0,0,0,0
Megachile,Megachile casadae,0,0,0,0,0,0,0,0
Megachile,Megachile centuncularis,4,4,0,0,0,0,0,0
Megachile,Megachile circumcincta,0,0,0,0,0,0,0,0
Megachile,Megachile dentitarsus,0,0,0,0,0,0,0,0
Megachile,Megachile fortis,2,2,0,0,0,0,0,0
Megachile,Megachile frigida,0,0,0,0,0,0,0,0
Megachile,Megachile gemula,5,5,0,0,0,0,0,0
Megachile,Megachile inermis,15,3,0,0,0,0,0,16
Megachile,Megachile lapponica,0,0,0,0,0,0,0,0
Megachile,Megachile latimanus,8,8,0,0,0,0,0,0
Megachile,Megachile lippiae,0,0,0,0,0,0,0,0
Megachile,Megachile manifesta,0,0,0,0,0,0,0,0
Megachile,Megachile melanophaea,7,7,0,0,0,0,0,0
Megachile,Megachile montivaga,0,0,0,0,0,0,0,0
Megachile,Megachile parallela,3,3,0,0,0,0,0,0
Megachile,Megachile perihirta,1,0,0,0,1,0,0,0
Megachile,Megachile pugnata,8,8,0,0,0,0,0,0
Megachile,Megachile relativa,7,6,0,0,1,0,0,0
Megachile,Megachile rotundata,21,5,0,0,0,0,0,39
Megachile,Megachile sublaurita,0,0,0,0,0,0,0,0
Megachile,Megachile wheeleri,0,0,0,0,0,0,0,0
Melecta,Melecta pacifica,6,3,3,0,0,0,0,0
Melecta,Melecta thoracica,3,0,3,0,0,0,0,0
Melissodes,Melissodes agilis,1,1,0,0,0,0,0,0
Melissodes,Melissodes communis,10,6,4,0,0,0,0,0
Melissodes,Melissodes confusa,3,3,0,0,0,0,0,0
Melissodes,Melissodes coreopsis,1,1,0,0,0,0,0,0
Melissodes,Melissodes druriella,1,1,0,0,0,0,0,0
Melissodes,Melissodes illata,0,0,0,0,0,0,0,0
Melissodes,Melissodes lupina,3,3,0,0,0,0,0,0
Melissodes,Melissodes lutulenta,0,0,0,0,0,0,0,0
Melissodes,Melissodes menuachus,0,0,0,0,0,0,0,0
Melissodes,Melissodes microsticta,4,0,4,0,0,0,0,0
Melissodes,Melissodes pallidisignata,0,0,0,0,0,0,0,0
Melissodes,Melissodes perlusa,0,0,0,0,0,0,0,0
Melissodes,Melissodes rivalis,3,3,0,0,0,0,0,0
Melissodes,Melissodes semilupina,0,0,0,0,0,0,0,0
Melissodes,Melissodes snowii,0,0,0,0,0,0,0,0
Melissodes,Melissodes subagilis,0,0,0,0,0,0,0,0
Melissodes,Melissodes utahensis,0,0,0,0,0,0,0,0
Neolarra,Neolarra pruinosa,0,0,0,0,0,0,0,0
Neolarra,Neolarra vigilans,2,2,0,0,0,0,0,0
Nomada,Nomada aquilarum,0,0,0,0,0,0,0,0
Nomada,Nomada articulata,3,3,0,0,0,0,0,0
Nomada,Nomada bella,0,0,0,0,0,0,0,0
